,passenger_id,account_type,eligible_discount,fare_plan,preferred_payment,passenger_name,survey_opt_in,avg_trip_dis,dis_grp_type,last_active_date,total_trips_year,avg_commute_week,account_creation,account_age
0,100001,Senior,True,Monthly Pass,Mobile App,Carla Green,True,16.004516801610908,medium,2025-06-10 14:39:19.831293,448.8156500002775,8.631070192313029,2024-12-21 10:47:20.073200,171 days 03:51:59.758093
1,100002,Low Income,True,Weekly Pass,Bank Transfer,Unknown,True,13.341317926885845,medium,2025-06-12 04:45:11.348400,451.390922716774,8.68059466763027,2023-06-28 15:00:38.953171,714 days 13:44:32.395229
2,100003,Regular,False,Pay As You Go,Smartcard,Colleen Williams,False,22.927142439568023,high,2025-06-09 21:25:49.628857,433.9940837630458,8.346040072366266,2024-01-30 04:42:28.022800,496 days 16:43:21.606057
3,100004,Regular,False,Single Ride,Mobile App,Christopher Richardson,True,23.44745198416081,high,2025-06-11 09:48:41.261478,430.18797414874564,8.272845656706647,2025-03-01 22:10:16.625750,101 days 11:38:24.635728
4,100005,Disability,True,Single Ride,Cash,Christy Anderson,True,5.112212069182117,low,2025-07-06 21:38:28.356418,465.92231268825265,8.96004447477409,2024-01-08 05:04:54.127913,545 days 16:33:34.228505
5,100006,Senior,True,Pay As You Go,Cash,Sheri Davis,False,22.65590332700741,high,2025-07-01 22:37:35.698025,422.18419912864573,8.11892690632011,2024-09-09 17:40:28.523323,295 days 04:57:07.174702
6,100007,Student,True,Monthly Pass,Cash,Shannon Jennings,True,16.334123784369666,medium,2025-06-29 09:22:32.778097,456.5945367290303,8.780664167865968,2024-06-24 06:07:08.496047,370 days 03:15:24.282050
7,100008,Student,True,Pay As You Go,Mobile App,Andrew Hughes,False,5.256166263603376,low,2025-06-19 06:17:31.078111,487.60863309446455,9.377089097970472,2024-12-28 15:34:48.465281,172 days 14:42:42.612830
8,100009,Disability,True,Monthly Pass,Bank Transfer,Unknown,False,15.88597071292321,medium,2025-06-17 11:00:12.583181,437.84567359220074,8.420109107542322,2024-07-29 19:20:24.540866,322 days 15:39:48.042315
9,100010,Senior,True,Monthly Pass,Cash,Mary Burton,False,4.397173675694805,low,2025-06-15 08:45:59.097634,477.7509536876529,9.187518340147172,2023-11-30 00:23:16.024303,563 days 08:22:43.073331
10,100011,Disability,True,Single Ride,Cash,Wanda Adams,False,5.479789331452308,low,2025-07-04 16:56:13.871239,478.6783382553419,9.205352658756574,2023-06-04 18:24:38.768283,760 days 22:31:35.102956
11,100012,Tourist,False,Pay As You Go,Mobile App,Rebecca Pierce,False,5.0098553602986335,low,2025-07-07 03:33:17.987277,461.72915514528484,8.879406829717016,2025-03-06 03:40:46.170929,122 days 23:52:31.816348
12,100013,Regular,False,Single Ride,Cash,Victoria Powell,True,15.657026699027007,medium,2025-06-16 05:33:46.550457,444.6093741437033,8.550180271994295,2023-04-15 07:14:56.670865,792 days 22:18:49.879592
13,100014,Senior,True,Pay As You Go,Cash,James Boyd,False,13.888966760694903,medium,2025-07-04 14:12:50.359239,436.69206999746467,8.397924423028167,2023-05-05 11:39:38.722999,791 days 02:33:11.636240
14,100015,Regular,False,Pay As You Go,Bank Transfer,Jesus Miles,True,3.102235178860198,low,2025-07-01 16:14:22.345403,486.96319603884524,9.36467684690087,2024-04-28 21:15:26.408236,428 days 18:58:55.937167
15,100016,Low Income,True,Weekly Pass,Mobile App,Tricia Carlson,True,21.498342191047563,high,2025-06-10 08:17:10.245811,422.6102465234097,8.127120125450187,2024-11-08 01:59:13.879885,214 days 06:17:56.365926
16,100017,Disability,True,Weekly Pass,Mobile App,Kristin Williams,False,23.994618153521124,high,2025-06-21 02:55:02.842371,418.06857060632353,8.03978020396776,2024-08-30 15:41:09.929223,294 days 11:13:52.913148
17,100018,Senior,True,Weekly Pass,Bank Transfer,Stephanie Lozano,True,14.765510206151824,medium,2025-06-15 11:09:55.408141,439.3353045482743,8.448755856697582,2023-03-03 17:34:27.052386,834 days 17:35:28.355755
18,100019,Disability,True,Weekly Pass,Smartcard,Unknown,False,3.28635018693209,low,2025-06-29 14:51:43.703408,484.3964895121133,9.31531710600218,2022-09-09 10:37:20.249128,1024 days 04:14:23.454280
19,100020,Disability,True,Monthly Pass,Smartcard,Donna Avila,True,13.914783286097975,medium,2025-06-22 23:35:27.250999,433.8873901227707,8.343988271591744,2024-06-04 12:17:34.628594,383 days 11:17:52.622405
20,100021,Tourist,False,Weekly Pass,Cash,Pamela Cole,True,24.223326633852924,high,2025-06-15 21:00:09.382595,433.3394823440138,8.333451583538727,2024-07-21 22:57:33.199311,328 days 22:02:36.183284
21,100022,Senior,True,Single Ride,Smartcard,Ashley Gomez,False,16.07625434081426,medium,2025-06-28 21:49:04.492784,455.94901842019203,8.768250354234462,2025-03-28 01:58:09.629680,92 days 19:50:54.863104
22,100023,Regular,False,Single Ride,Mobile App,Unknown,True,22.957555588412845,high,2025-06-14 11:06:27.213090,412.3328152006985,7.929477215398048,2024-12-17 12:19:46.694530,178 days 22:46:40.518560
23,100024,Low Income,True,Weekly Pass,Bank Transfer,Kevin Delacruz,False,4.232419003846866,low,2025-06-26 17:04:27.518536,466.57625897812915,8.972620364964023,2023-07-30 20:32:45.904064,696 days 20:31:41.614472
24,100025,Student,True,Single Ride,Bank Transfer,Unknown,False,4.936096819052775,low,2025-06-25 07:53:09.590231,475.40633347913024,9.142429489983273,2024-09-29 10:08:35.495269,268 days 21:44:34.094962
25,100026,Senior,True,Pay As You Go,Mobile App,Unknown,True,21.14267967473662,high,2025-07-01 16:24:32.139613,433.32718999220594,8.333215192157807,2023-05-26 18:26:33.127252,766 days 21:57:59.012361
26,100027,Senior,True,Weekly Pass,Mobile App,Daisy Alvarado,False,7.23522357150256,low,2025-06-16 10:58:30.215909,481.0793023665395,9.251525045510375,2023-06-01 03:42:07.058916,746 days 07:16:23.156993
27,100028,Senior,True,Pay As You Go,Mobile App,Unknown,True,21.984991113674294,high,2025-06-22 04:43:09.526656,426.01067447498457,8.19251297067278,2023-02-15 04:29:01.516495,858 days 00:14:08.010161
28,100029,Student,True,Monthly Pass,Smartcard,Diana Gutierrez,True,5.437546447578965,low,2025-06-30 07:37:08.429298,465.9290452207292,8.960173946552485,2024-02-26 05:45:32.817978,490 days 01:51:35.611320
29,100030,Low Income,True,Monthly Pass,Bank Transfer,Denise Robinson,False,5.589345163463541,low,2025-07-02 08:26:49.979201,479.20132427386443,9.2154100821897,2024-06-07 18:15:40.848983,389 days 14:11:09.130218
30,100031,Tourist,False,Weekly Pass,Mobile App,Debbie Pugh,True,2.818823638094031,low,2025-06-20 08:58:35.357929,474.0891088909085,9.117098247902087,2023-06-26 07:42:23.381401,725 days 01:16:11.976528
31,100032,Regular,False,Pay As You Go,Mobile App,Unknown,False,12.261447214707609,medium,2025-07-06 03:12:34.526832,445.75492349826874,8.5722100672744,2025-06-03 10:40:06.453141,32 days 16:32:28.073691
32,100033,Disability,True,Weekly Pass,Mobile App,Unknown,False,5.42617625940508,low,2025-06-25 20:07:55.514158,477.3642351031745,9.180081444291817,2023-09-20 18:56:42.653797,644 days 01:11:12.860361
